0 1 2 3 4 5 6 7
0 1 2 3 4 5 6 8
0 1 2 3 4 5 6 9
0 1 2 3 4 5 6 10
0 1 2 3 4 5 6 11
0 1 2 3 4 5 6 12
0 1 2 3 4 5 6 13
0 1 2 3 4 5 6 14
0 1 2 3 4 5 6 15
0 1 2 3 4 5 6 16
0 1 2 3 4 5 6 17
0 1 2 3 4 5 6 18
0 1 2 3 4 5 6 19
0 1 2 3 4 5 6 20
0 1 2 3 4 5 6 21
0 1 2 3 4 5 6 22
0 1 2 3 4 5 6 23
0 1 2 3 4 5 6 24
0 1 2 3 4 5 6 28
0 1 2 3 4 5 6 29
0 1 2 3 4 5 6 30
0 1 2 3 4 5 6 31
0 1 2 3 4 5 6 32
0 1 2 3 4 5 6 33
0 1 2 3 4 5 6 34
0 1 2 3 4 5 6 35
0 1 2 3 4 5 6 36
0 1 2 3 4 5 6 37
0 1 2 3 4 5 6 38
0 1 2 3 4 5 6 39
0 1 2 3 4 5 6 40
0 1 2 3 4 5 6 41
0 1 2 3 4 5 6 42
0 1 2 3 4 5 6 43
0 1 2 3 4 5 6 44
0 1 2 3 4 5 6 45
0 1 2 3 4 5 6 46
0 1 2 3 4 5 6 47
0 1 2 3 4 5 6 48
0 1 2 3 4 5 6 49
0 1 2 3 4 5 6 50
0 1 2 3 4 5 6 51
0 1 2 3 4 5 6 52
0 1 2 3 4 5 6 53
0 1 2 3 4 5 6 54
0 1 2 3 4 5 6 55
0 1 2 3 4 5 6 56
0 1 2 3 4 5 6 57
0 1 2 3 4 5 6 58
0 1 2 3 4 5 6 59
0 1 2 3 4 5 6 60
0 1 2 3 4 5 6 61
0 1 2 3 4 5 6 62
0 1 2 3 4 5 6 63
0 1 2 3 4 5 6 64
0 1 2 3 4 5 6 65
0 1 2 3 4 5 6 66
0 1 2 3 4 5 6 67
0 1 2 3 4 5 6 68
0 1 2 3 4 5 6 69
0 1 2 3 4 5 6 70
0 1 2 3 4 5 6 71
0 1 2 3 4 5 6 72
0 1 2 3 4 5 6 73
0 1 2 3 4 5 6 74
0 1 2 3 4 5 6 75
0 1 2 3 4 5 6 77
0 1 2 3 4 5 6 78
0 1 2 3 4 5 6 79
0 1 2 3 4 5 6 82
0 1 2 3 4 5 6 83
0 1 2 3 4 5 6 84
0 1 2 3 4 5 6 85
0 1 2 3 4 5 6 87
0 1 2 3 4 5 6 88
0 1 2 3 4 5 6 89
0 1 2 3 4 5 6 90
0 1 2 3 4 5 6 91
0 1 2 3 4 5 6 92
0 1 2 3 4 5 6 94
0 1 2 3 4 5 6 95
0 1 2 3 4 5 6 96
0 1 2 3 4 5 6 97
0 1 2 3 4 5 7 8
0 1 2 3 4 5 7 9
0 1 2 3 4 5 7 10
0 1 2 3 4 5 7 11
0 1 2 3 4 5 7 12
0 1 2 3 4 5 7 13
0 1 2 3 4 5 7 14
0 1 2 3 4 5 7 15
0 1 2 3 4 5 7 16
0 1 2 3 4 5 7 17
0 1 2 3 4 5 7 18
0 1 2 3 4 5 7 19
0 1 2 3 4 5 7 20
0 1 2 3 4 5 7 21
0 1 2 3 4 5 7 22
0 1 2 3 4 5 7 23
0 1 2 3 4 5 7 24
0 1 2 3 4 5 7 25
0 1 2 3 4 5 7 28
0 1 2 3 4 5 7 30
0 1 2 3 4 5 7 31
0 1 2 3 4 5 7 32
0 1 2 3 4 5 7 33
0 1 2 3 4 5 7 34
0 1 2 3 4 5 7 35
0 1 2 3 4 5 7 36
